condition,environment_seed,channel_seed,drop,delay,radius,final_entropy,F1,mission_return,episode_steps,measurement_count,path_length,messages_attempted,messages_range_eligible,messages_dropped,messages_delayed,messages_delivered,packet_delivery_ratio,effective_neighbor_degree,message_age_mean,message_age_max,communication_radius,normalized_communication_load,load_unit,pending_messages_discarded_at_episode_end,event_log
delay_3,15007,315007,0.0,3,25.0,0.2481253633205559,0.7947303306918113,9.97846094891429,15.0,60.0,300.0,180,94,0,94,76,0.8085106382978723,1.5666666666666667,3.0,3,25.0,0.5222222222222223,MESSAGE_UNITS,18,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15007.jsonl
delay_3,15008,315008,0.0,3,25.0,0.3209239056844528,0.7540206956738561,8.36616188660264,15.0,60.0,300.0,180,70,0,70,56,0.8,1.1666666666666667,3.0,3,25.0,0.3888888888888889,MESSAGE_UNITS,14,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15008.jsonl
delay_3,15009,315009,0.0,3,25.0,0.2472268256952654,0.7481440980344631,7.460876148194075,15.0,60.0,300.0,180,124,0,124,88,0.7096774193548387,2.066666666666667,3.0,3,25.0,0.6888888888888889,MESSAGE_UNITS,36,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15009.jsonl
delay_3,15010,315010,0.0,3,25.0,0.29453575953919564,0.7278027841535756,5.539216928184032,15.0,60.0,300.0,180,124,0,124,88,0.7096774193548387,2.066666666666667,3.0,3,25.0,0.6888888888888889,MESSAGE_UNITS,36,D:\AgentData\RAC-MIPP\S3-R0\events\delay_3_15010.jsonl
delay_5,15001,315001,0.0,5,25.0,0.38729344675754923,0.7176195470051471,4.3173150438815355,15.0,60.0,300.0,180,118,0,118,58,0.4915254237288136,1.9666666666666666,5.0,5,25.0,0.6555555555555556,MESSAGE_UNITS,60,D:\AgentData\RAC-MIPP\S3-R0\events\delay_5_15001.jsonl
delay_5,15002,315002,0.0,5,25.0,0.44214625432027965,0.7546025359668374,10.04623043909669,15.0,60.0,300.0,180,84,0,84,44,0.5238095238095238,1.4,5.0,5,25.0,0.4666666666666667,MESSAGE_UNITS,40,D:\AgentData\RAC-MIPP\S3-R0\events\delay_5_15002.jsonl
delay_5,15003,315003,0.0,5,25.0,0.25921354962679205,0.807623421761952,10.958939991891384,15.0,60.0,300.0,180,94,0,94,64,0.6808510638297872,1.5666666666666667,5.0,5,25.0,0.5222222222222223,MESSAGE_UNITS,30,D:\AgentData\RAC-MIPP\S3-R0\events\delay_5_15003.jsonl
delay_5,15004,315004,0.0,5,25.0,0.5104039967806211,0.6318644964933174,1.2863147873431444,15.0,60.0,300.0,180,126,0,126,76,0.6031746031746031,2.1,5.0,5,25.0,0.7,MESSAGE_UNITS,50,D:\AgentData\RAC-MIPP\S3-R0\events\delay_5_15004.jsonl
delay_5,15005,315005,0.0,5,25.0,0.3850857109591866,0.7528444410533072,8.427198885008693,15.0,60.0,300.0,180,72,0,72,42,0.5833333333333334,1.2,5.0,5,25.0,0.4,MESSAGE_UNITS,30,D:\AgentData\RAC-MIPP\S3-R0\events\delay_5_15005.jsonl
delay_5,15006,315006,0.0,5,25.0,0.25617113192316354,0.8307180368717374,13.977006506174803,15.0,60.0,300.0,180,86,0,86,62,0.7209302325581395,1.4333333333333333,5.0,5,25.0,0.4777777777777778,MESSAGE_UNITS,24,D:\AgentData\RAC-MIPP\S3-R0\events\delay_5_15006.jsonl
